"","X","Company","Date","Open","Close","Volume","return","after_hours"
"1",43149,"aapl.us.txt","2000-09-29",1.8058,1.6496,2069769775,-51.8463379747205,-47.2866859328021
"2",43150,"aapl.us.txt","2000-10-02",1.7097,1.5521,676232487,-5.9105237633366,3.64330746847701
"3",43151,"aapl.us.txt","2000-10-03",1.5971,1.4282,568397135,-7.9827330713227,2.899297725662
"4",43152,"aapl.us.txt","2000-10-04",1.4327,1.5124,408849240,5.89553283853801,0.315081921300009
"5",43153,"aapl.us.txt","2000-10-05",1.5048,1.4123,243466696,-6.6186194128537,-0.502512562814095
"6",43154,"aapl.us.txt","2000-10-06",1.4534,1.4216,170859601,0.658500318628996,2.91014656942601
"7",43159,"aapl.us.txt","2000-10-13",1.2959,1.4123,347977113,10.267020612117,1.17895065583999
"8",43164,"aapl.us.txt","2000-10-20",1.2204,1.2485,220669898,2.943601583113,0.626649076516994
"9",100905,"abio.us.txt","2008-03-18",546,613.2,8267,-46.3235294117647,-52.2058823529412
"10",100906,"abio.us.txt","2008-03-19",571.2,558.6,1462,-8.9041095890411,-6.8493150684931
"11",100907,"abio.us.txt","2008-03-20",554.4,554.4,990,-0.751879699248104,-0.751879699248104
"12",100908,"abio.us.txt","2008-03-24",529.2,571.2,691,3.03030303030301,-4.5454545454545
"13",100909,"abio.us.txt","2008-03-25",579.6,579.6,904,1.470588235294,1.470588235294
"14",100910,"abio.us.txt","2008-03-26",554.4,562.8,444,-2.89855072463771,-4.3478260869565
"15",100915,"abio.us.txt","2008-04-02",564.48,579.6,673,-1.4285714285714,-4
"16",100920,"abio.us.txt","2008-04-09",672,638.4,663,0,5.26315789473699
"17",101208,"abio.us.txt","2009-06-01",175.56,215.46,36526,-44.7793326157158,-55.005382131324
"18",101209,"abio.us.txt","2009-06-02",221.76,202.44,10863,-6.04288499025341,2.923976608187
"19",101210,"abio.us.txt","2009-06-03",200.76,183.96,6335,-9.1286307053942,-0.829875518672196
"20",101211,"abio.us.txt","2009-06-04",184.8,186.48,3330,1.36986301369899,0.456621004566005
"21",101212,"abio.us.txt","2009-06-05",188.16,191.94,3168,2.927927927928,0.900900900901003
"22",101213,"abio.us.txt","2009-06-08",199.5,170.94,7992,-10.9409190371991,3.938730853392
"23",101218,"abio.us.txt","2009-06-15",168,161.7,2066,-1.2820512820513,2.564102564103
"24",101223,"abio.us.txt","2009-06-22",119.28,111.3,1530,-9.8639455782313,-3.4013605442177
"25",138974,"acad.us.txt","2008-06-16",4.34,4.83,7550378,-43.1095406360424,-48.8810365135454
"26",138975,"acad.us.txt","2008-06-17",4.52,4.46,2167932,-7.66045548654249,-6.4182194616977
"27",138976,"acad.us.txt","2008-06-18",4.4,4.09,1035325,-8.2959641255605,-1.3452914798206
"28",138977,"acad.us.txt","2008-06-19",4.06,3.83,720231,-6.3569682151589,-0.733496332518302
"29",138978,"acad.us.txt","2008-06-20",3.82,4.08,641305,6.527415143603,-0.261096605744104
