"","X","Company","Date","Open","Close","Volume","return","after_hours"
"1",22745,"aac.us.txt","2015-08-04",32.79,19.89,8182600,-39.3412625800549,0
"2",22746,"aac.us.txt","2015-08-05",21,20.75,2802600,4.32378079436899,5.580693815988
"3",22747,"aac.us.txt","2015-08-06",20.73,20.04,786050,-3.421686746988,-0.0963855421686977
"4",22748,"aac.us.txt","2015-08-07",20.04,17.77,896700,-11.3273453093812,0
"5",22749,"aac.us.txt","2015-08-10",18,18.82,902100,5.908835115363,1.294316263365
"6",22750,"aac.us.txt","2015-08-11",18.8,18.36,719824,-2.44420828905419,-0.106269925611002
"7",22755,"aac.us.txt","2015-08-18",23.15,24.12,832400,4.596704249783,0.390286209886992
"8",22760,"aac.us.txt","2015-08-25",23.33,21.34,366900,-4.304932735426,4.61883408071699
"9",24318,"aamc.us.txt","2012-12-27",75,59,54300,-23.3766233766234,-2.5974025974026
"10",24319,"aamc.us.txt","2012-12-28",58.5,72.35,94400,22.627118644068,-0.847457627118597
"11",24320,"aamc.us.txt","2012-12-31",72,82,43500,13.33794056669,-0.483759502418801
"12",24321,"aamc.us.txt","2013-01-02",83.5,76,26000,-7.3170731707317,1.829268292683
"13",24322,"aamc.us.txt","2013-01-03",75.5,81.25,80800,6.90789473684199,-0.657894736842102
"14",24323,"aamc.us.txt","2013-01-04",81.5,85,26000,4.615384615385,0.307692307692009
"15",24328,"aamc.us.txt","2013-01-11",100,106.5,37000,8.673469387755,2.04081632653099
"16",24333,"aamc.us.txt","2013-01-18",103,117,54800,14.582313191656,0.871609049065003
"17",24672,"aamc.us.txt","2014-06-23",1016.1,819.9,76029,-25.3971720259868,-7.544903641426
"18",24673,"aamc.us.txt","2014-06-24",806,747.95,86113,-8.7754604220027,-1.6953286986218
"19",24674,"aamc.us.txt","2014-06-25",738,777.66,32897,3.972190654456,-1.3303028277291
"20",24675,"aamc.us.txt","2014-06-26",809.99,830,36710,6.73044775351701,4.157343826351
"21",24676,"aamc.us.txt","2014-06-27",845,788.5,169753,-5,1.80722891566301
"22",24677,"aamc.us.txt","2014-06-30",791,723.06,57107,-8.2993024730501,0.317057704502011
"23",24682,"aamc.us.txt","2014-07-08",640,640,10094,-0.0296786891392009,-0.0296786891392009
"24",24687,"aamc.us.txt","2014-07-15",749.99,743.21,13825,0.826188408942996,1.745984371608
"25",24799,"aamc.us.txt","2014-12-22",435,356.5,80699,-23.3827638082957,-6.5119277885235
"26",24800,"aamc.us.txt","2014-12-23",340.5,339.99,29020,-4.6311360448808,-4.4880785413745
"27",24801,"aamc.us.txt","2014-12-24",331.01,335.99,13464,-1.1765051913292,-2.641254154534
"28",24802,"aamc.us.txt","2014-12-26",334.01,336,5544,0.00297627905601061,-0.589303253073004
"29",24803,"aamc.us.txt","2014-12-29",335,334.05,14016,-0.580357142857102,-0.297619047619002
"30",24804,"aamc.us.txt","2014-12-30",366,340,6414,1.781170483461,9.56443646160801
"31",24809,"aamc.us.txt","2015-01-07",326.26,330.01,6205,0.612804878049,-0.530487804878099
"32",24813,"aamc.us.txt","2015-01-13",308,214.28,111756,-33.414126347845,-4.2913520400236
"33",24814,"aamc.us.txt","2015-01-14",207.89,205.32,76370,-4.181444838529,-2.9820795221206
"34",24815,"aamc.us.txt","2015-01-15",197,231.35,28267,12.67777128385,-4.0522111825443
"35",24816,"aamc.us.txt","2015-01-16",221.78,300.01,36744,29.677977090988,-4.1365895828831
"36",24817,"aamc.us.txt","2015-01-20",287.24,269.68,10784,-10.1096630112329,-4.2565247825072
"37",24818,"aamc.us.txt","2015-01-21",278.5,269.99,5761,0.114951053099999,3.27054286561801
"38",24823,"aamc.us.txt","2015-01-28",214.6,190.75,11357,-13.4528130671506,-2.6315789473684
"39",24828,"aamc.us.txt","2015-02-04",165.63,170.4,4799,1.15761353517401,-1.6740872662511
"40",24963,"aamc.us.txt","2015-08-18",79.7,60.01,55600,-24.7523510971787,-0.0626959247648995
"41",24964,"aamc.us.txt","2015-08-19",60,43.01,87100,-28.328611898017,-0.0166638893517979
"42",24965,"aamc.us.txt","2015-08-20",41.55,37.7,42800,-12.3459660544059,-3.3945594047896
"43",24966,"aamc.us.txt","2015-08-21",36.5,34.4,37300,-8.7533156498674,-3.183023872679
"44",24967,"aamc.us.txt","2015-08-24",30.55,32.8,28345,-4.6511627906977,-11.1918604651163
"45",24968,"aamc.us.txt","2015-08-25",34.5,30.02,14300,-8.4756097560976,5.182926829268
"46",24969,"aamc.us.txt","2015-08-26",32.35,33.4,37300,11.259160559627,7.76149233844099
"47",24973,"aamc.us.txt","2015-09-01",38.45,39.53,21500,2.702000519615,-0.103923096908298
"48",24974,"aamc.us.txt","2015-09-02",39.82,39,16300,-1.3407538578295,0.733620035415994
"49",24978,"aamc.us.txt","2015-09-09",30.96,27.22,27100,-10.0165289256198,2.347107438017
"50",24979,"aamc.us.txt","2015-09-10",27.63,25,74580,-8.155767817781,1.50624540778801
"51",25061,"aamc.us.txt","2016-01-07",19.43,15.48,94497,-22.4837255883826,-2.70405608412621
"52",25062,"aamc.us.txt","2016-01-08",15.96,15.6896,62663,1.354005167959,3.10077519379801
"53",25063,"aamc.us.txt","2016-01-11",15.5,16.82,72686,7.20477258821099,-1.2084438099123
"54",25064,"aamc.us.txt","2016-01-12",16.65,16.47,28036,-2.0808561236623,-1.0107015457788
"55",25065,"aamc.us.txt","2016-01-13",16.52,15.04,24028,-8.682452944748,0.303582270795011
"56",25066,"aamc.us.txt","2016-01-14",14.8799,16.98,26306,12.898936170213,-1.0644946808511
"57",25071,"aamc.us.txt","2016-01-22",15.94,17.38,100434,12.564766839378,3.238341968912
"58",25076,"aamc.us.txt","2016-01-29",15.76,15.45,22743,-1.2779552715655,0.702875399361003
"59",25146,"aamc.us.txt","2016-05-10",17.2,13.66,45844,-21.9874357509994,-1.7704169046259
"60",25147,"aamc.us.txt","2016-05-11",13.57,12.83,36593,-6.0761346998536,-0.658857979502203
"61",25148,"aamc.us.txt","2016-05-12",13,12.2,17715,-4.9103663289166,1.32501948558099
"62",25149,"aamc.us.txt","2016-05-13",12.21,12.51,30229,2.54098360655699,0.0819672131149973
"63",25150,"aamc.us.txt","2016-05-16",13,13.1,34570,4.71622701838501,3.91686650679499
"64",25151,"aamc.us.txt","2016-05-17",13.23,12.58,37068,-3.969465648855,0.992366412214007
"65",25156,"aamc.us.txt","2016-05-24",14.0999,14.02,22646,1.52063721940601,2.099203475742
"66",25161,"aamc.us.txt","2016-06-01",18.73,19.5,26609,2.20125786163501,-1.8343815513627
"67",31134,"aan.us.txt","2015-10-30",25.146,24.49,9243055,-26.4652894547202,-24.4955560893586
"68",31135,"aan.us.txt","2015-11-02",24.619,25.204,3208000,2.91547570436901,0.526745610453005
"69",31136,"aan.us.txt","2015-11-03",25.116,25.881,2745537,2.68608157435299,-0.349150928424102
"70",31137,"aan.us.txt","2015-11-04",25.841,25.881,1243366,0,-0.154553533480195
"71",31138,"aan.us.txt","2015-11-05",25.811,25.443,805579,-1.69236119160771,-0.270468683590297
"72",31139,"aan.us.txt","2015-11-06",25.293,24.956,1195323,-1.9140824588295,-0.589553118735997
"73",31144,"aan.us.txt","2015-11-13",23.845,23.795,607131,-1.6003639070383,-1.3935985443718
"74",31149,"aan.us.txt","2015-11-20",23.587,23.527,386723,0.637351355976001,0.894002908717995
"75",31931,"aaoi.us.txt","2014-11-11",13,11.74,3405739,-25.1275510204082,-17.0918367346939
"76",31932,"aaoi.us.txt","2014-11-12",11.71,12.32,997370,4.940374787053,-0.255536626916497
"77",31933,"aaoi.us.txt","2014-11-13",12.4,12.1,655839,-1.7857142857143,0.64935064935101
"78",31934,"aaoi.us.txt","2014-11-14",12.03,12.17,276615,0.578512396693998,-0.578512396694197
"79",31935,"aaoi.us.txt","2014-11-17",12.16,11.88,348673,-2.3829087921117,-0.0821692686934994
"80",31936,"aaoi.us.txt","2014-11-18",11.96,12.61,550744,6.14478114478101,0.673400673401003
"81",31941,"aaoi.us.txt","2014-11-25",12.32,11.94,412513,-3.24149108589949,-0.162074554295
"82",31946,"aaoi.us.txt","2014-12-03",9.9,10.15,316403,1.49999999999999,-1
"83",32291,"aaoi.us.txt","2016-04-19",12.74,11.72,4909189,-27.2501551831161,-20.9186840471757
"84",32292,"aaoi.us.txt","2016-04-20",11.7,11.38,1050591,-2.901023890785,-0.170648464163803
"85",32293,"aaoi.us.txt","2016-04-21",11.54,11.01,515958,-3.2513181019332,1.40597539543099
"86",32294,"aaoi.us.txt","2016-04-22",11.05,11.59,473136,5.26793823796501,0.363306085377002
"87",32295,"aaoi.us.txt","2016-04-25",11.51,11.08,359219,-4.4003451251079,-0.690250215703203
"88",32296,"aaoi.us.txt","2016-04-26",11.15,10.92,663417,-1.4440433212996,0.631768953069001
"89",32301,"aaoi.us.txt","2016-05-03",11.04,10.65,379830,-4.226618705036,-0.719424460431695
"90",32306,"aaoi.us.txt","2016-05-10",8.9,8.49,1819941,-17.2514619883041,-13.2553606237817
"91",32618,"aaoi.us.txt","2017-08-04",75,64.6,17015449,-34.0749056026125,-23.4615777120114
"92",32619,"aaoi.us.txt","2017-08-07",64.14,69.69,10874211,7.879256965944,-0.712074303405597
"93",32620,"aaoi.us.txt","2017-08-08",71.75,71.2,6334574,2.16673841297199,2.95594776868999
"94",32621,"aaoi.us.txt","2017-08-09",70.23,67.47,4083834,-5.2387640449438,-1.3623595505618
"95",32622,"aaoi.us.txt","2017-08-10",66.67,63.55,3450293,-5.8099896250185,-1.1857121683711
"96",32623,"aaoi.us.txt","2017-08-11",63.61,65.84,2854246,3.60346184107001,0.0944138473639944
"97",32628,"aaoi.us.txt","2017-08-18",64.16,64.1,1951849,-0.650960942343504,-0.557966522008702
"98",32633,"aaoi.us.txt","2017-08-25",62.38,62.3,1006759,-0.144253886840895,-0.0160282096489994
"99",32667,"aaoi.us.txt","2017-10-13",46.55,47.01,8685898,-20.1053704962611,-20.8871515975527
"100",32668,"aaoi.us.txt","2017-10-16",47,43.38,4529927,-7.7217613273771,-0.0212720697724045
"101",32669,"aaoi.us.txt","2017-10-17",42.79,43.74,2835950,0.829875518671996,-1.3600737667128
"102",32670,"aaoi.us.txt","2017-10-18",43.69,42.29,2002673,-3.3150434385002,-0.114311842706905
"103",32671,"aaoi.us.txt","2017-10-19",41.64,42.17,1825992,-0.283755024828602,-1.5370063844881
"104",32672,"aaoi.us.txt","2017-10-20",42.3,41.47,1302295,-1.65994783021109,0.30827602561101
"105",32677,"aaoi.us.txt","2017-10-27",38.65,39.27,2049423,1.525336091003,-0.0775594622543951
"106",32682,"aaoi.us.txt","2017-11-03",39.3,37.82,2730713,-3.7169042769857,0.0509164969449971
"107",39027,"aap.us.txt","2017-08-15",91.932,87.025,19749386,-20.3432494279176,-15.8517162471396
"108",39028,"aap.us.txt","2017-08-16",86.505,91.452,6534894,5.08704395288699,-0.597529445561595
"109",39029,"aap.us.txt","2017-08-17",90.693,92.791,4671850,1.46415606001,-0.829943576958403
"110",39030,"aap.us.txt","2017-08-18",92.781,93.201,3074211,0.44185319697001,-0.0107769072431041
"111",39031,"aap.us.txt","2017-08-21",93.871,95.13,1969426,2.06972028197101,0.718876406905999
"112",39032,"aap.us.txt","2017-08-22",95.17,95.739,2076225,0.640176600442,0.0420477241670048
"113",39037,"aap.us.txt","2017-08-29",93.841,95.06,1750496,0.486257928118006,-0.802325581395302
"114",39042,"aap.us.txt","2017-09-06",96.859,95.549,1894384,-1.1585927236239,0.196546979899992
"115",57693,"aaww.us.txt","2013-10-31",41.44,37.03,2772878,-23.9474224686794,-14.8901211747792
"116",57694,"aaww.us.txt","2013-11-01",37.34,38.5,1144500,3.96975425330801,0.837159060220993
"117",57695,"aaww.us.txt","2013-11-04",38.65,38.93,490451,1.11688311688301,0.389610389610007
"118",57696,"aaww.us.txt","2013-11-05",38.65,38.44,573700,-1.2586694066273,-0.719239660929905
"119",57697,"aaww.us.txt","2013-11-06",38.53,38.37,352900,-0.182101977107196,0.234131113424008
"120",57698,"aaww.us.txt","2013-11-07",38.2,38.39,528300,0.0521240552519897,-0.443054469637705
"121",57703,"aaww.us.txt","2013-11-14",37.93,37.93,181900,0.23784355179699,0.23784355179699
"122",57708,"aaww.us.txt","2013-11-21",36.51,37.34,313600,2.49794125720599,0.219599231403
"123",65113,"abac.us.txt","2010-07-21",21.08,17,56675,-20.5607476635514,-1.4953271028037
"124",65114,"abac.us.txt","2010-07-22",17,16.96,15675,-0.2352941176471,0
"125",65115,"abac.us.txt","2010-07-23",16.6,16.08,17550,-5.188679245283,-2.122641509434
"126",65116,"abac.us.txt","2010-07-26",16.08,15.92,17268,-0.995024875621897,0
"127",65117,"abac.us.txt","2010-07-27",16.6,16.16,2763,1.50753768844201,4.27135678392001
"128",65118,"abac.us.txt","2010-07-28",16.36,16.36,8063,1.23762376237599,1.23762376237599
"129",65123,"abac.us.txt","2010-08-04",16,16,2238,0.25062656641599,0.25062656641599
"130",65128,"abac.us.txt","2010-08-11",15.32,15.32,1600,-4.25,-4.25
"131",88053,"abco.us.txt","2015-08-05",54,46.99,2545700,-20.838948787062,-9.02964959568729
"132",88054,"abco.us.txt","2015-08-06",46.64,47.94,1832345,2.02170674611599,-0.7448393275165
"133",88055,"abco.us.txt","2015-08-07",47.52,47.3,519100,-1.3350020859408,-0.876095118898601
"134",88056,"abco.us.txt","2015-08-10",47.4,49.01,803000,3.61522198731501,0.211416490485994
"135",88057,"abco.us.txt","2015-08-11",48.71,48.81,643962,-0.408079983676801,-0.612119975515202
"136",88058,"abco.us.txt","2015-08-12",49.67,49.82,727300,2.06924810489699,1.761934029912
"137",88063,"abco.us.txt","2015-08-19",52.56,52.08,348400,-0.781101162126097,0.133358734997002
"138",88068,"abco.us.txt","2015-08-26",50.43,49.71,363600,0.872564935065001,2.333603896104
"139",88192,"abco.us.txt","2016-02-24",23.36,26.5,8051783,-26.9771286855883,-35.6296500413337
"140",88193,"abco.us.txt","2016-02-25",27.3,27.81,2446042,4.943396226415,3.01886792452799
"141",88194,"abco.us.txt","2016-02-26",28.09,29.4,1230761,5.71736785329,1.006832074793
"142",88195,"abco.us.txt","2016-02-29",29.4,29.49,688561,0.306122448980006,0
"143",88196,"abco.us.txt","2016-03-01",29.49,29.82,571656,1.119023397762,0
"144",88197,"abco.us.txt","2016-03-02",29.82,28.2,813754,-5.4325955734406,0
"145",88202,"abco.us.txt","2016-03-09",29.44,28.5,589950,-2.697166268351,0.512120177534992
"146",88207,"abco.us.txt","2016-03-16",27.92,27.79,384599,-1.5237420269313,-1.0630758327427
"147",93499,"abeow.us.txt","2015-05-07",5.25,2.65,460826,-29.3333333333333,40
"148",93500,"abeow.us.txt","2015-05-08",2.78,2.5,236300,-5.6603773584906,4.905660377358
"149",93501,"abeow.us.txt","2015-05-11",2.9,4.59,445700,83.6,16
"150",93502,"abeow.us.txt","2015-05-12",3.92,4.05,486775,-11.7647058823529,-14.5969498910675
"151",93503,"abeow.us.txt","2015-05-13",3.68,3.7,78600,-8.641975308642,-9.1358024691358
"152",93504,"abeow.us.txt","2015-05-14",4.25,3.4,174500,-8.1081081081081,14.864864864865
"153",93509,"abeow.us.txt","2015-05-21",4.4,3.95,48400,-8.1395348837209,2.325581395349
"154",93514,"abeow.us.txt","2015-05-29",3.78,3.52,70400,-8.0939947780679,-1.3054830287206
"155",93568,"abeow.us.txt","2015-08-18",2.13,1.58,8600,-32.7659574468085,-9.3617021276596
"156",93569,"abeow.us.txt","2015-08-19",2.25,2.18,10000,37.974683544304,42.405063291139
"157",93570,"abeow.us.txt","2015-08-20",1.81,1.69,4000,-22.4770642201835,-16.9724770642202
"158",93571,"abeow.us.txt","2015-08-21",1.69,2,4600,18.343195266272,0
"159",93572,"abeow.us.txt","2015-08-24",1.52,1.26,3299,-37,-24
"160",93573,"abeow.us.txt","2015-08-25",1.67,1.85,22800,46.825396825397,32.539682539683
"161",93574,"abeow.us.txt","2015-08-26",2,1.67,3700,-9.7297297297297,8.108108108108
"162",93575,"abeow.us.txt","2015-08-27",1.72,1.55,4300,-7.185628742515,2.99401197604801
"163",93576,"abeow.us.txt","2015-08-28",1.86,1.83,4900,18.064516129032,20
"164",93577,"abeow.us.txt","2015-08-31",2,1.8,3500,-1.63934426229509,9.28961748633901
"165",93578,"abeow.us.txt","2015-09-01",1.6,1.6,600,-11.1111111111111,-11.1111111111111
"166",93580,"abeow.us.txt","2015-09-03",1.99,1.77,10500,5.98802395209601,19.161676646707
"167",93582,"abeow.us.txt","2015-09-08",1.71,1.78,400,-2.7322404371585,-6.5573770491803
"168",93583,"abeow.us.txt","2015-09-09",1.95,2,9400,12.359550561798,9.550561797753
"169",93585,"abeow.us.txt","2015-09-11",2.12,2.21,800,0.454545454544997,-3.6363636363636
"170",93587,"abeow.us.txt","2015-09-16",1.76,1.86,6300,-14.2857142857143,-18.8940092165899
"171",93650,"abeow.us.txt","2016-01-28",0.71,0.69,6400,-21.5909090909091,-19.3181818181818
"172",93651,"abeow.us.txt","2016-01-29",0.9,0.9153,8200,32.652173913043,30.434782608696
"173",93652,"abeow.us.txt","2016-02-01",0.7,0.7,1100,-23.5223424013985,-23.5223424013985
"174",93653,"abeow.us.txt","2016-02-02",0.7,0.7,1100,0,0
"175",93654,"abeow.us.txt","2016-02-03",0.414,0.7303,1010,4.32857142857099,-40.8571428571429
"176",93655,"abeow.us.txt","2016-02-10",0.51,0.51,500,-30.1656853347939,-30.1656853347939
"177",93656,"abeow.us.txt","2016-02-12",1.09,0.921,380,80.588235294118,113.725490196078
"178",93657,"abeow.us.txt","2016-02-16",0.921,0.921,330,0,0
"179",93658,"abeow.us.txt","2016-02-22",0.53,0.5019,1992,-45.5048859934853,-42.4538545059718
"180",93659,"abeow.us.txt","2016-02-24",0.57,0.57,830,13.568439928273,13.568439928273
"181",93660,"abeow.us.txt","2016-02-29",0.75,0.58,2146,1.754385964912,31.578947368421
"182",93662,"abeow.us.txt","2016-03-07",1,0.95,1401,58.333333333333,66.666666666667
"183",93665,"abeow.us.txt","2016-03-21",0.65,0.67,2171,-25.5555555555556,-27.7777777777778
"184",93666,"abeow.us.txt","2016-03-22",0.71,0.71,100,5.97014925373101,5.97014925373101
"185",93667,"abeow.us.txt","2016-03-28",0.63,0.6,900,-15.4929577464789,-11.2676056338028
"186",93668,"abeow.us.txt","2016-03-30",0.75,0.78,1090,30,25
"187",93669,"abeow.us.txt","2016-03-31",0.85,0.85,120,8.97435897435901,8.97435897435901
"188",93670,"abeow.us.txt","2016-04-04",0.92,0.99,7590,16.470588235294,8.23529411764701
"189",93675,"abeow.us.txt","2016-04-12",0.65,0.65,150,-23.5294117647059,-23.5294117647059
"190",93676,"abeow.us.txt","2016-04-14",0.79,0.79,150,21.538461538462,21.538461538462
"191",93677,"abeow.us.txt","2016-04-19",0.75,0.75,1300,-5.0632911392405,-5.0632911392405
"192",93678,"abeow.us.txt","2016-04-27",0.9,0.8,850,6.666666666667,20
"193",93679,"abeow.us.txt","2016-04-28",0.75,0.75,166,-6.25,-6.25
"194",93680,"abeow.us.txt","2016-05-10",0.75,0.6374,979,-15.0133333333333,0
"195",93685,"abeow.us.txt","2016-05-24",0.7226,0.75,12200,7.14285714285701,3.228571428571
"196",93690,"abeow.us.txt","2016-06-06",1.01,1.12,9000,-13.8395261173936,-22.3017155165782
"197",93693,"abeow.us.txt","2016-06-13",0.95,0.95,210,-20.8333333333333,-20.8333333333333
"198",93694,"abeow.us.txt","2016-06-15",0.95,1.05,1186,10.526315789474,0
"199",93695,"abeow.us.txt","2016-06-16",1.07,1.0534,2200,0.323809523809993,1.90476190476201
"200",93696,"abeow.us.txt","2016-06-24",0.95,0.95,100,-9.8158344408582,-9.8158344408582
"201",93697,"abeow.us.txt","2016-06-29",0.8058,1.1,5000,15.789473684211,-15.178947368421
"202",93698,"abeow.us.txt","2016-06-30",0.95,0.95,1100,-13.6363636363636,-13.6363636363636
"203",93703,"abeow.us.txt","2016-07-20",1,0.998,2109,-13.2173913043478,-13.0434782608696
"204",93708,"abeow.us.txt","2016-08-02",1.05,1.2,1467,4.34782608695701,-8.695652173913
"205",93712,"abeow.us.txt","2016-08-08",1.1,1.1,1000,-26.6666666666667,-26.6666666666667
"206",93713,"abeow.us.txt","2016-08-09",1.33,1.95,69201,77.272727272727,20.909090909091
"207",93714,"abeow.us.txt","2016-08-10",1.71,1.61,12241,-17.4358974358974,-12.3076923076923
"208",93715,"abeow.us.txt","2016-08-11",1.75,1.7996,1184,11.776397515528,8.69565217391299
"209",93716,"abeow.us.txt","2016-08-12",1.7,1.54,706,-14.4254278728606,-5.5345632362747
"210",93717,"abeow.us.txt","2016-08-15",1.8,1.6501,3292,7.14935064935101,16.883116883117
"211",93722,"abeow.us.txt","2016-08-22",1.9,1.9,515,1.06382978723401,1.06382978723401
"212",93727,"abeow.us.txt","2016-08-29",1.8,1.79,200,-14.9926390274018,-14.5177375694543
"213",99751,"abil.us.txt","2016-05-02",5.65,4.9,228832,-35.1465819601615,-25.2200383826352
"214",99752,"abil.us.txt","2016-05-03",5,4.57,151137,-6.734693877551,2.04081632653099
"215",99753,"abil.us.txt","2016-05-04",4.58,4.15,132970,-9.1903719912473,0.218818380744001
"216",99754,"abil.us.txt","2016-05-05",4.08,3.8,54698,-8.4337349397591,-1.6867469879518
"217",99755,"abil.us.txt","2016-05-06",3.8,3,375956,-21.0526315789474,0
"218",99756,"abil.us.txt","2016-05-09",3.09,3.21,153017,7.00000000000001,3
"219",99757,"abil.us.txt","2016-05-10",3.2,3.32,39907,3.426791277259,-0.311526479750801
"220",99758,"abil.us.txt","2016-05-11",3.36,3.33,21288,0.301204819277001,1.204819277108
"221",99759,"abil.us.txt","2016-05-12",3.31,3.11,44899,-6.6066066066066,-0.600600600600598
"222",99760,"abil.us.txt","2016-05-13",3.13,3.17,59010,1.929260450161,0.643086816720007
"223",99761,"abil.us.txt","2016-05-16",3.2,3.17,61793,0,0.946372239748006
"224",99765,"abil.us.txt","2016-05-20",2.75,2.77,75010,0.36231884058,-0.362318840579701
"225",99766,"abil.us.txt","2016-05-23",2.71,2.71,35743,-2.1660649819495,-2.1660649819495
"226",99770,"abil.us.txt","2016-05-27",2.9,2.83,20078,-2.4137931034483,0
"227",99985,"abil.us.txt","2017-04-10",1.6,1.39,73924,-21.4245336348219,-9.5534200113058
"228",99986,"abil.us.txt","2017-04-11",1.3,1.38,245460,-0.719424460431695,-6.4748201438849
"229",99987,"abil.us.txt","2017-04-12",1.2499,1.21,42955,-12.3188405797101,-9.427536231884
"230",99988,"abil.us.txt","2017-04-13",1.23,1.2,38028,-0.826446280991699,1.652892561983
"231",99989,"abil.us.txt","2017-04-17",1.23,1.21,38086,0.833333333332997,2.49999999999999
"232",99990,"abil.us.txt","2017-04-18",1.19,1.12,12931,-7.4380165289256,-1.6528925619835
"233",99995,"abil.us.txt","2017-04-25",0.9,0.9001,11931,-2.1630434782609,-2.1739130434783
"234",100000,"abil.us.txt","2017-05-02",0.7895,0.7799,39578,-3.716049382716,-2.5308641975309
"235",100027,"abil.us.txt","2017-06-09",1.3,1.055,1738944,-25.177304964539,-7.8014184397163
"236",100028,"abil.us.txt","2017-06-12",1.21,1.17,2816987,10.900473933649,14.691943127962
"237",100029,"abil.us.txt","2017-06-13",1.42,1.4,5345037,19.65811965812,21.367521367521
"238",100030,"abil.us.txt","2017-06-14",1.44,1.43,1358771,2.142857142857,2.857142857143
