"","X","Company","Date","Open","Close","Volume","return","after_hours"
"1",22535,"aac.us.txt","2014-10-02",20,18.5,2799073,-73.781179138322,-71.6553287981859
"2",22536,"aac.us.txt","2014-10-03",18.2,18.65,155562,0.810810810811002,-1.62162162162161
"3",22537,"aac.us.txt","2014-10-06",18.48,19.24,188229,3.16353887399501,-0.911528150134
"4",22538,"aac.us.txt","2014-10-07",19.25,19.24,176606,0,0.0519750519750062
"5",22539,"aac.us.txt","2014-10-08",19.17,19.13,37046,-0.571725571725601,-0.363825363825299
"6",22540,"aac.us.txt","2014-10-09",19.16,19.25,114523,0.627286983794995,0.156821745948998
"7",22545,"aac.us.txt","2014-10-16",19.13,19.4,61787,-0.154400411734401,-1.5440041173443
"8",22550,"aac.us.txt","2014-10-23",20.41,21.05,80998,2.582846003899,-0.536062378167601
"9",24309,"aamc.us.txt","2012-12-13",15,15,100,-67.2632038411174,-67.2632038411174
"10",24310,"aamc.us.txt","2012-12-14",19,30,144600,100,26.666666666667
"11",24311,"aamc.us.txt","2012-12-17",31.5,65,68600,116.666666666667,5
"12",24312,"aamc.us.txt","2012-12-18",65,80,43600,23.076923076923,0
"13",24313,"aamc.us.txt","2012-12-19",80,84,24000,5,0
"14",24314,"aamc.us.txt","2012-12-20",84,80.25,33300,-4.4642857142857,0
"15",24319,"aamc.us.txt","2012-12-28",58.5,72.35,94400,22.627118644068,-0.847457627118597
"16",24324,"aamc.us.txt","2013-01-07",86,79.8,31800,-6.11764705882351,1.176470588235
"17",31647,"aaoi.us.txt","2013-09-26",10,9.96,948900,-72.7794479365947,-72.6701284503963
"18",31648,"aaoi.us.txt","2013-09-27",10.06,10.1,253329,1.40562248995999,1.004016064257
"19",31649,"aaoi.us.txt","2013-09-30",10,10,84800,-0.990099009901002,-0.990099009901002
"20",31650,"aaoi.us.txt","2013-10-01",9.95,10,74500,0,-0.5
"21",31651,"aaoi.us.txt","2013-10-02",9.99,9.97,94000,-0.3,-0.1
"22",31652,"aaoi.us.txt","2013-10-03",10,10,72400,0.300902708123996,0.300902708123996
"23",31657,"aaoi.us.txt","2013-10-10",10.5,10.2,80330,0.49261083743799,3.44827586206899
"24",31662,"aaoi.us.txt","2013-10-17",10.09,10.44,63000,1.85365853658499,-1.5609756097561
"25",47454,"aat.us.txt","2011-01-18",17.53,17.588,599112,-89.9307265128528,-89.9639319860308
"26",47455,"aat.us.txt","2011-01-19",17.631,17.488,1227421,-0.568569479190395,0.244484876051998
"27",47456,"aat.us.txt","2011-01-20",17.324,17.458,894936,-0.171546203110695,-0.937785910338496
"28",47457,"aat.us.txt","2011-01-21",17.512,17.482,563427,0.137472791842996,0.309313781647003
"29",47458,"aat.us.txt","2011-01-24",17.449,17.53,430460,0.274568127217001,-0.188765587461404
"30",47459,"aat.us.txt","2011-01-25",17.449,17.504,359240,-0.148317170564705,-0.462065031374803
"31",47464,"aat.us.txt","2011-02-01",17.504,17.53,681455,0.0513669311110077,-0.0970264254323006
"32",47469,"aat.us.txt","2011-02-08",17.458,17.239,300243,-1.0049385551855,0.252670265304
"33",88627,"abdc.us.txt","2014-05-09",10.287,10.32,298210,-80.6741573033708,-80.7359550561798
"34",88628,"abdc.us.txt","2014-05-12",10.371,10.287,47768,-0.319767441860497,0.494186046511991
"35",88629,"abdc.us.txt","2014-05-13",10.287,10.287,34011,0,0
"36",88630,"abdc.us.txt","2014-05-14",10.183,10.287,56430,0,-1.01098473801891
"37",88631,"abdc.us.txt","2014-05-15",10.287,10.232,69117,-0.5346553902984,0
"38",88632,"abdc.us.txt","2014-05-16",10.32,10.281,31153,0.478889757623002,0.860046911650003
"39",88637,"abdc.us.txt","2014-05-23",10.149,10.252,4688,0.727058361170996,-0.2849282766752
"40",88642,"abdc.us.txt","2014-06-02",10.226,10.259,6893,0.401252691329002,0.0782932080640064
"41",92702,"abeo.us.txt","2014-12-22",3.85,3.7,27025,-74.1258741258741,-73.0769230769231
"42",92703,"abeo.us.txt","2014-12-23",3.7,3.65,5890,-1.3513513513514,0
"43",92704,"abeo.us.txt","2014-12-24",3.55,3.44,5885,-5.7534246575342,-2.7397260273973
"44",92705,"abeo.us.txt","2014-12-26",3.519,3.6426,5019,5.88953488372099,2.29651162790701
"45",92706,"abeo.us.txt","2014-12-29",3.3001,3.5,14279,-3.9147861417669,-9.4026244989842
"46",92707,"abeo.us.txt","2014-12-30",3.65,3.561,4426,1.742857142857,4.285714285714
"47",92712,"abeo.us.txt","2015-01-07",3.47,3.34,4116,2.772392996708,6.772516077418
"48",92717,"abeo.us.txt","2015-01-14",3.15,3.0999,18983,-5.28293815692989,-3.7521388413591
"49",93431,"abeow.us.txt","2014-12-19",0.9,0.75,10600,-95.0819672131148,-94.0983606557377
"50",93432,"abeow.us.txt","2014-12-22",1.05,0.71,15275,-5.3333333333333,40
"51",93433,"abeow.us.txt","2014-12-23",0.7,0.7,8200,-1.40845070422539,-1.40845070422539
"52",93434,"abeow.us.txt","2014-12-24",0.7,0.708,71001,1.142857142857,0
"53",93435,"abeow.us.txt","2014-12-26",0.78,0.75,4300,5.932203389831,10.169491525424
"54",93436,"abeow.us.txt","2014-12-30",0.8,0.8,400,6.666666666667,6.666666666667
"55",93441,"abeow.us.txt","2015-01-12",0.7,0.7,1000,-1.40845070422539,-1.40845070422539
"56",93446,"abeow.us.txt","2015-01-21",0.675,0.69,2500,-1.4285714285714,-3.5714285714286
"57",99666,"abil.us.txt","2015-12-24",9,9,22600,-85.4721549636804,-85.4721549636804
"58",99667,"abil.us.txt","2015-12-28",11.03,9.1711,46861,1.901111111111,22.555555555556
"59",99668,"abil.us.txt","2015-12-29",9.29,9.1,23630,-0.775261419022799,1.29646389200899
"60",99669,"abil.us.txt","2015-12-30",9.24,9.35,67878,2.747252747253,1.538461538462
"61",99670,"abil.us.txt","2015-12-31",9.13,9.9,172127,5.88235294117601,-2.3529411764706
"62",99671,"abil.us.txt","2016-01-04",9.7985,10.16,90398,2.626262626263,-1.0252525252525
"63",99676,"abil.us.txt","2016-01-11",9.8,9.64,111125,0.103842159916989,1.76531671858799
"64",99681,"abil.us.txt","2016-01-19",9.29,9.17,64500,-1.7148981779207,-0.428724544480197
"65",151003,"acer.us.txt","2016-10-28",13.021,10.938,626213,-69.1165259621086,-63.2351695513454
"66",151004,"acer.us.txt","2016-10-31",10.417,8.8542,201689,-19.0510148107515,-4.763210824648
"67",151005,"acer.us.txt","2016-11-01",8.3333,8.3354,43632,-5.8593661765038,-5.883083734273
"68",151006,"acer.us.txt","2016-11-02",8.125,6.6344,72061,-20.4069390791084,-2.5241740048468
"69",151007,"acer.us.txt","2016-11-03",6.5625,6.9438,95488,4.66357168696501,-1.0837453273845
"70",151008,"acer.us.txt","2016-11-04",7.2906,6.9802,69451,0.524208646561997,4.994383478787
"71",151013,"acer.us.txt","2016-11-11",6.25,6.0312,10002,-3.5008,0
"72",151018,"acer.us.txt","2016-11-18",5.7292,6.9792,125489,21.818054876772,0
"73",151265,"acerw.us.txt","2015-04-14",0.1,0.09,342800,-99.4860079954312,-99.4288977727013
"74",151266,"acerw.us.txt","2015-04-15",0.095,0.1,301438,11.111111111111,5.555555555556
"75",151267,"acerw.us.txt","2015-04-16",0.0901,0.095,221300,-5,-9.9
"76",151268,"acerw.us.txt","2015-04-17",0.09,0.09,119500,-5.2631578947368,-5.2631578947368
"77",151269,"acerw.us.txt","2015-04-20",0.095,0.095,75050,5.555555555556,5.555555555556
"78",151270,"acerw.us.txt","2015-04-21",0.11,0.11,18636,15.789473684211,15.789473684211
"79",151275,"acerw.us.txt","2015-04-28",0.09,0.09,56500,0,0
"80",151280,"acerw.us.txt","2015-05-05",0.1,0.1,18900,0,0
"81",151638,"acerw.us.txt","2016-10-28",0.03,0.0102,4263201,-87.7256317689531,-63.898916967509
"82",151639,"acerw.us.txt","2016-10-31",0.0144,0.011,1464628,7.843137254902,41.176470588235
"83",151640,"acerw.us.txt","2016-11-01",0.0115,0.013,689456,18.181818181818,4.54545454545501
"84",151641,"acerw.us.txt","2016-11-02",0.0139,0.0105,1483622,-19.2307692307692,6.92307692307701
"85",151642,"acerw.us.txt","2016-11-03",0.011,0.0091,345402,-13.3333333333333,4.76190476190499
"86",151643,"acerw.us.txt","2016-11-04",0.0055,0.0094,359291,3.296703296703,-39.5604395604396
"87",151648,"acerw.us.txt","2016-11-11",0.0057,0.006,218479,0,-5
