"","X","Company","Date","Open","Close","Volume","return","after_hours"
"1",16596,"aaap.us.txt","2015-11-11",18.5,24.5,1584600,-43.0365031388049,-56.9867472680772
"2",16597,"aaap.us.txt","2015-11-12",24.25,25,83000,2.04081632653099,-1.0204081632653
"3",16598,"aaap.us.txt","2015-11-13",25.47,25.26,67300,1.04,1.87999999999999
"4",16599,"aaap.us.txt","2015-11-16",25.01,25.02,16900,-0.950118764845598,-0.989707046714206
"5",16600,"aaap.us.txt","2015-11-17",24.46,24.62,25900,-1.5987210231814,-2.238209432454
"6",16601,"aaap.us.txt","2015-11-18",24.62,25,111100,1.54346060113699,0
"7",16606,"aaap.us.txt","2015-11-25",26.49,25.8,11800,0.702576112412001,3.39578454332601
"8",16611,"aaap.us.txt","2015-12-03",26.03,26.64,6266,0.75642965204199,-1.5506807866868
"9",23062,"aac.us.txt","2016-11-03",11.2,7.8,3742602,-50.9125235997483,-29.5154185022027
"10",23063,"aac.us.txt","2016-11-04",7.65,7.51,1246354,-3.7179487179487,-1.92307692307691
"11",23064,"aac.us.txt","2016-11-07",7.8,7.6,635918,1.198402130493,3.861517976032
"12",23065,"aac.us.txt","2016-11-08",7.59,7,808568,-7.8947368421053,-0.131578947368405
"13",23066,"aac.us.txt","2016-11-09",6.07,7.04,842582,0.571428571429,-13.2857142857143
"14",23067,"aac.us.txt","2016-11-10",7.04,7.63,501172,8.38068181818199,0
"15",23072,"aac.us.txt","2016-11-17",9.72,10.44,351548,7.076923076923,-0.307692307692298
"16",23077,"aac.us.txt","2016-11-25",9.27,9.57,32055,3.23624595469301,0
"17",93658,"abeow.us.txt","2016-02-22",0.53,0.5019,1992,-45.5048859934853,-42.4538545059718
"18",93659,"abeow.us.txt","2016-02-24",0.57,0.57,830,13.568439928273,13.568439928273
"19",93660,"abeow.us.txt","2016-02-29",0.75,0.58,2146,1.754385964912,31.578947368421
"20",93661,"abeow.us.txt","2016-03-04",0.7,0.6,1400,3.44827586206899,20.689655172414
"21",93662,"abeow.us.txt","2016-03-07",1,0.95,1401,58.333333333333,66.666666666667
"22",93663,"abeow.us.txt","2016-03-08",0.903,0.903,504,-4.9473684210526,-4.9473684210526
"23",93668,"abeow.us.txt","2016-03-30",0.75,0.78,1090,30,25
"24",93673,"abeow.us.txt","2016-04-07",0.9453,0.92,4804,-8,-5.47
"25",125557,"abtx.us.txt","2015-10-08",22.55,23.12,1239600,-57.8102189781022,-58.8503649635036
"26",125558,"abtx.us.txt","2015-10-09",23.18,22.52,84300,-2.5951557093426,0.259515570933999
"27",125559,"abtx.us.txt","2015-10-12",22.4,22.2,48297,-1.42095914742451,-0.532859680284203
"28",125560,"abtx.us.txt","2015-10-13",22.16,22.3,32000,0.450450450450002,-0.180180180180201
"29",125561,"abtx.us.txt","2015-10-14",22.28,22.35,21500,0.224215246637005,-0.0896860986546955
"30",125562,"abtx.us.txt","2015-10-15",22.35,22.32,139800,-0.134228187919505,0
"31",125567,"abtx.us.txt","2015-10-22",22.11,22.16,18600,-0.7613076578594,-0.985221674876802
"32",125572,"abtx.us.txt","2015-10-29",22.44,23.7,42800,5.662059741418,0.0445831475700098
"33",141343,"acbi.us.txt","2015-11-02",13.8,15,1777,-47.5341028331584,-51.7313746065058
"34",141344,"acbi.us.txt","2015-11-03",17.5,15.66,3700,4.4,16.666666666667
"35",141345,"acbi.us.txt","2015-11-04",15.001,14.305,76378,-8.6526181353768,-4.2081736909323
"36",141346,"acbi.us.txt","2015-11-05",14.3,14.05,147000,-1.7825934987766,-0.0349528137015054
"37",141347,"acbi.us.txt","2015-11-06",14.16,14.15,51100,0.711743772241991,0.782918149466005
"38",141348,"acbi.us.txt","2015-11-09",14.19,14.25,25578,0.706713780918999,0.282685512367009
"39",141353,"acbi.us.txt","2015-11-16",14.85,14.53,27500,-1.7579445571332,0.405679513184998
"40",141358,"acbi.us.txt","2015-11-23",14.3,14.36,34000,0.630693763139001,0.21023125438
"41",150190,"acer.us.txt","2013-08-08",125,117.5,266934,-51.7116672831135,-48.629433279908
"42",150191,"acer.us.txt","2013-08-09",120,114.17,55304,-2.8340425531915,2.12765957446801
"43",150192,"acer.us.txt","2013-08-12",115,113.33,38274,-0.735744941753502,0.726986073399005
"44",150193,"acer.us.txt","2013-08-13",118.33,115,28011,1.47357275214,4.411894467484
"45",150194,"acer.us.txt","2013-08-14",118.33,112.5,15893,-2.1739130434783,2.89565217391301
"46",150195,"acer.us.txt","2013-08-15",112.5,113.33,23449,0.737777777777993,0
"47",150200,"acer.us.txt","2013-08-22",115.83,114.17,3378,0,1.45397214679901
"48",150205,"acer.us.txt","2013-08-29",120.83,121.67,5015,0.695191591492006,0
"49",151655,"acerw.us.txt","2016-11-22",0.03,0.0188,2598638,-44.047619047619,-10.7142857142857
"50",151656,"acerw.us.txt","2016-11-23",0.0211,0.0179,1226278,-4.7872340425532,12.234042553191
"51",151657,"acerw.us.txt","2016-11-25",0.0187,0.0202,1506946,12.849162011173,4.469273743017
"52",151658,"acerw.us.txt","2016-11-28",0.0212,0.023,1656590,13.861386138614,4.950495049505
"53",151659,"acerw.us.txt","2016-11-29",0.0242,0.023,953713,0,5.217391304348
"54",151660,"acerw.us.txt","2016-11-30",0.023,0.022,557175,-4.3478260869565,0
"55",151665,"acerw.us.txt","2016-12-07",0.0131,0.0179,465882,-0.555555555555598,-27.2222222222222
"56",151670,"acerw.us.txt","2016-12-14",0.022,0.0204,387290,-3.7735849056604,3.77358490566
"57",151897,"acerw.us.txt","2017-11-08",0.032,0.0226,2691810,-45.5421686746988,-22.8915662650602
"58",151898,"acerw.us.txt","2017-11-09",0.0226,0.042,1814971,85.840707964602,0
"59",151899,"acerw.us.txt","2017-11-10",0.042,0.0332,198436,-20.952380952381,0
"60",163323,"achc.us.txt","2011-11-03",9.45,9.35,14441,-50,-49.4652406417112
"61",163324,"achc.us.txt","2011-11-04",9.5,9.15,12123,-2.1390374331551,1.60427807486601
"62",163325,"achc.us.txt","2011-11-07",9.49,9.19,20405,0.437158469945009,3.715846994536
"63",163326,"achc.us.txt","2011-11-08",9.15,9.25,17902,0.652883569097007,-0.435255712731197
"64",163327,"achc.us.txt","2011-11-09",9.3,9.27,1656,0.216216216215992,0.540540540541001
"65",163328,"achc.us.txt","2011-11-10",9.15,9.15,1000,-1.294498381877,-1.294498381877
"66",163333,"achc.us.txt","2011-11-17",9.27,9.25,1600,0.108225108224991,0.324675324674994
"67",163338,"achc.us.txt","2011-11-25",9.1,8.92,4600,-2.9379760609358,-0.979325353645299
"68",166580,"achn.us.txt","2013-09-30",3.44,3.02,38843600,-58.2872928176796,-52.4861878453039
"69",166581,"achn.us.txt","2013-10-01",2.99,2.65,12195176,-12.2516556291391,-0.993377483443703
"70",166582,"achn.us.txt","2013-10-02",2.7,2.88,7433548,8.679245283019,1.88679245283001
"71",166583,"achn.us.txt","2013-10-03",2.9,2.78,3469100,-3.4722222222222,0.694444444443998
"72",166584,"achn.us.txt","2013-10-04",2.77,2.72,2494000,-2.158273381295,-0.359712230215803
"73",166585,"achn.us.txt","2013-10-07",2.8,2.79,4043700,2.57352941176501,2.941176470588
"74",166590,"achn.us.txt","2013-10-14",2.65,2.86,8562562,7.51879699248099,-0.375939849624096
"75",166595,"achn.us.txt","2013-10-21",2.93,2.77,1635048,-4.8109965635739,0.687285223368006
"76",170505,"achv.us.txt","2016-08-16",6.2623,5.8245,398377,-41.0773899848255,-36.6484572584724
"77",170506,"achv.us.txt","2016-08-17",5.5,5.72,98470,-1.7941454202077,-5.5712936732767
"78",170507,"achv.us.txt","2016-08-18",5.544,6.0599,72109,5.94230769230799,-3.0769230769231
"79",170508,"achv.us.txt","2016-08-19",6.028,6.325,23222,4.374659647849,-0.526411326919596
"80",170509,"achv.us.txt","2016-08-22",6.38,6.3811,15368,0.886956521739002,0.869565217391011
"81",170510,"achv.us.txt","2016-08-23",6.38,6.622,41210,3.775211170488,-0.0172384071712051
"82",170515,"achv.us.txt","2016-08-30",6.05,6.27,15263,3.61752408653,-0.018178512997602
"83",170520,"achv.us.txt","2016-09-07",5.72,5.6551,21559,0.784159968633991,1.940795922368
"84",171198,"aciu.us.txt","2016-09-23",14.11,16.1,3579175,-55.4140127388535,-60.9249515369704
"85",171199,"aciu.us.txt","2016-09-26",15.6,16.47,964244,2.29813664596299,-3.1055900621118
"86",171200,"aciu.us.txt","2016-09-27",16.78,18.21,510028,10.564663023679,1.88221007893099
"87",171201,"aciu.us.txt","2016-09-28",19.04,19.3,455672,5.98572213069699,4.55793520043899
"88",171202,"aciu.us.txt","2016-09-29",19.6,17.54,303421,-9.11917098445601,1.55440414507799
"89",171203,"aciu.us.txt","2016-09-30",17.48,16.47,321011,-6.1003420752566,-0.342075256556396
"90",171208,"aciu.us.txt","2016-10-07",15.9,15.81,151011,-1.6791044776119,-1.1194029850746
"91",171213,"aciu.us.txt","2016-10-14",14.02,13.96,89048,-0.3568879371877,0.071377587438004
"92",194015,"acrx.us.txt","2014-07-28",6.87,6.39,15719761,-40.9972299168975,-36.5650969529086
"93",194016,"acrx.us.txt","2014-07-29",6.24,6.42,2600641,0.469483568074991,-2.3474178403756
"94",194017,"acrx.us.txt","2014-07-30",6.51,6.52,1226064,1.55763239875399,1.40186915887801
"95",194018,"acrx.us.txt","2014-07-31",6.44,6.96,2354218,6.74846625766901,-1.2269938650307
"96",194019,"acrx.us.txt","2014-08-01",6.96,6.89,950036,-1.0057471264368,0
"97",194020,"acrx.us.txt","2014-08-04",6.89,6.71,907794,-2.6124818577649,0
"98",194025,"acrx.us.txt","2014-08-11",6.49,6.45,635119,-0.309119010819203,0.309119010819003
"99",194030,"acrx.us.txt","2014-08-18",6.56,6.8,694558,4.938271604938,1.234567901235
"100",194825,"acrx.us.txt","2017-10-12",2.1,2.15,24235922,-59.8130841121495,-60.7476635514019
"101",194826,"acrx.us.txt","2017-10-13",2.2,2.125,5426499,-1.1627906976744,2.325581395349
"102",194827,"acrx.us.txt","2017-10-16",2.1,1.95,5319946,-8.2352941176471,-1.1764705882353
"103",194828,"acrx.us.txt","2017-10-17",1.9,1.75,4353231,-10.2564102564103,-2.5641025641026
"104",194829,"acrx.us.txt","2017-10-18",1.75,1.75,1642996,0,0
"105",194830,"acrx.us.txt","2017-10-19",1.75,1.75,3228502,0,0
"106",194835,"acrx.us.txt","2017-10-26",1.95,1.8,977158,-6.4935064935065,1.298701298701
"107",194840,"acrx.us.txt","2017-11-02",2.05,2,442603,0,2.49999999999999
"108",226031,"adhd.us.txt","2014-10-06",7.9,6.12,6366147,-56.6265060240964,-44.0113394755492
"109",226032,"adhd.us.txt","2014-10-07",6.25,6.51,2762368,6.372549019608,2.12418300653601
"110",226033,"adhd.us.txt","2014-10-08",6.71,6.75,1064688,3.6866359447,3.072196620584
"111",226034,"adhd.us.txt","2014-10-09",6.47,6.53,439982,-3.2592592592593,-4.1481481481482
"112",226035,"adhd.us.txt","2014-10-10",6.41,6.06,447537,-7.197549770291,-1.8376722817764
"113",226036,"adhd.us.txt","2014-10-13",5.98,5.47,545399,-9.7359735973597,-1.3201320132013
"114",226041,"adhd.us.txt","2014-10-20",5.4,5.32,248837,-1.48148148148149,0
"115",226046,"adhd.us.txt","2014-10-27",3.57,3.53,663729,-2.7548209366391,-1.6528925619835
